method,split,n_eval,accuracy,macro_f1,note
direct_baseline,overall,2188,0.6572212065813529,0.6608067665295667,
direct_baseline,train,1746,0.6517754868270332,0.6540048368707801,
direct_baseline,test,442,0.6787330316742082,0.6740747626200371,
thor_baseline,overall,2188,0.6124314442413162,0.6154454771234353,
thor_baseline,train,1746,0.6179839633447881,0.6173350996943391,
thor_baseline,test,442,0.5904977375565611,0.6006901730130755,
diagnostic_label,overall,2188,0.6128884826325411,0.6158271298109174,
diagnostic_label,train,1746,0.6191294387170676,0.6184390581227607,
diagnostic_label,test,442,0.5882352941176471,0.596703518018235,
controller_prediction,overall,2188,0.643510054844607,0.6458317677390221,
controller_prediction,train,1746,0.6391752577319587,0.6378968162733677,
controller_prediction,test,442,0.6606334841628959,0.6621076963593117,
current_final_selected,overall,2188,0.6809872029250457,0.6838288181460422,
current_final_selected,train,1746,0.6701030927835051,0.6715238720944575,
current_final_selected,test,442,0.7239819004524887,0.7192041747124914,
oracle_source_upper_bound,overall,2188,0.770109689213894,0.7727493838423428,uses gold labels to choose source
oracle_source_upper_bound,train,1746,0.7663230240549829,0.7680818652779139,uses gold labels to choose source
oracle_source_upper_bound,test,442,0.7850678733031674,0.7795112058170348,uses gold labels to choose source
meta_selector,overall,2188,0.6773308957952467,0.6794263799224106,selected validation model=tree_depth5_leaf10
meta_selector,train,1746,0.6666666666666666,0.6673565048154719,selected validation model=tree_depth5_leaf10
meta_selector,test,442,0.7194570135746606,0.7134517368462322,selected validation model=tree_depth5_leaf10
