id,source_sentence_id,sentence,target,from,to,polarity,domain,split,direct_raw_output,direct_prediction,sc_labels,sc_vote_counts,aspect,opinion,polarity_reasoning,raw_polarity_output,thor_prediction,direct_correct,thor_correct,direct_thor_agreement,change_group,oracle_direct_thor_prediction,oracle_source,always_thor_prediction,agreement_else_direct_prediction,agreement_else_thor_prediction,neutral_on_disagreement_prediction
684,35668286#0#0,In Short The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a mix of sports-bar butch and ornate kitsch.,look,79,83,negative,restaurant,test,neutral,neutral,"positive,positive,positive",positive:3,mixed styles,"Implicit opinion: Positive.

The phrase ""distinguishes itself from the Midtown pub herd"" implies that the mixed styles are a positive attribute, making the establishment unique and stand out in a favorable way.","Sentiment polarity: Positive
Sentiment cue: distinguishes itself from the Midtown pub herd",positive,positive,False,False,False,same_wrong,neutral,none,positive,neutral,positive,neutral
983,35391416#500259#5,Make more tables- perhaps a rooftop bar?,tables,10,16,negative,restaurant,test,positive,positive,"positive,positive,positive",positive:3,bar tables,"Implicit opinion: Positive.

The suggestion to ""Make more tables"" indicates a desire for more of them, implying they are seen as a beneficial or needed item.","Sentiment polarity: Positive
Sentiment cue: Make more tables",positive,positive,False,False,True,same_wrong,positive,none,positive,positive,positive,positive
1043,11651065#413029#1,"The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good.",fried foods,19,30,negative,restaurant,test,neutral,neutral,"negative,negative,negative",negative:3,general,"Implicit opinion: Negative.

The use of ""but"" to contrast ""the comments about fried foods is correct"" with the positive evaluation of ""the other dishes... were quite good"" implies that the comments about fried foods were negative, and the speaker agrees with that negative assessment.","Sentiment polarity: Negative
Sentiment cue: ""the comments about fried foods is correct"" (implying agreement with negative comments) and the contrastive ""but""",negative,negative,False,True,False,fixed_by_thor,negative,thor,negative,neutral,negative,neutral
1054,33070305#1312437#5,"The room is a little plain, but it's difficult to make such a small place exciting and I would not suggest that as a reason not to go.",place,68,73,negative,restaurant,test,neutral,neutral,"neutral,negative,negative",negative:2;neutral:1,size,"Implicit opinion: Negative

Explanation: The speaker views the small size of the place as a limitation or drawback, noting that this size constraint makes it difficult to make the room exciting.","Sentiment polarity: Negative (Implicit cue: ""difficult to make such a small place exciting"", which frames the small size as a limitation)",negative,negative,False,True,False,fixed_by_thor,negative,thor,negative,neutral,negative,neutral
16,33071731#1007204#3,"In fact, this was not a Nicoise salad and was barely eatable.",Nicoise salad,24,37,negative,restaurant,test,neutral,neutral,"negative,negative,negative",negative:3,aspect: quality,"Implicit opinion: Negative

Explanation: The description of the dish as ""barely eatable"" and ""not a Nicoise salad"" directly indicates that the quality of the food was extremely poor and failed to meet basic culinary expectations.","Sentiment polarity: Negative (Implicit cue: ""not a [Nicoise salad]"" and ""barely eatable"")",negative,negative,False,True,False,fixed_by_thor,negative,thor,negative,neutral,negative,neutral
203,160:19,"Apple ""Help"" is a mixed bag.","Apple ""Help""",0,12,negative,laptop,test,neutral,neutral,"neutral,neutral,neutral",neutral:3,aspect: general,"Implicit opinion: Mixed (both positive and negative)

Explanation: The phrase ""mixed bag"" directly indicates that Apple ""Help"" has a combination of both good and bad features, reflecting a balanced or conflicted sentiment rather than a purely positive or negative one.","Sentiment polarity: Mixed (implicit, cue: ""mixed bag"")",neutral,neutral,False,False,True,same_wrong,neutral,none,neutral,neutral,neutral,neutral
264,32894669#1075584#0,"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",price,8,13,negative,restaurant,test,negative,negative,"negative,negative,negative",negative:3,aspect: value for money,"Implicit opinion: Negative

Explanation: The sentence implies that the quality of the food does not justify the price charged, as it fails to meet the standard of comparable Japanese restaurants, indicating poor value for money.","Sentiment polarity: Negative (Implicit cue: ""you'd expect it to be at least on par"", implying the food quality does not justify the price charged).",negative,negative,True,True,True,same_correct,negative,direct,negative,negative,negative,negative
265,32894669#1075584#0,"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",food,30,34,negative,restaurant,test,negative,negative,"negative,negative,negative",negative:3,value,"Implicit opinion: Negative

Explanation: The phrase ""you'd expect it to be at least on par"" implies that the food does not meet the basic standard of other Japanese restaurants, suggesting that its quality is disappointing and below average.","Sentiment polarity: Negative (Implicit cue: ""you'd expect it to be at least on par"")",negative,negative,True,True,True,same_correct,negative,direct,negative,negative,negative,negative
315,181:1,After fumbling around with the OS I started searching the internet for a fix and found a number of forums on fixing the issue.,OS,31,33,negative,laptop,test,negative,negative,"negative,negative,negative",negative:3,aspect: general,"Implicit opinion: Negative

Explanation: The author mentions ""fumbling around"" with the OS and needing to search for a ""fix"" to resolve an ""issue,"" which implies that the OS was difficult to use, frustrating, or had a technical problem.","Sentiment polarity: Negative (Implicit cues: ""fumbling around"", ""fix"", ""issue"")",negative,negative,True,True,True,same_correct,negative,direct,negative,negative,negative,negative
342,11350390#802808#2,"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",escargot,129,137,negative,restaurant,test,negative,negative,"negative,negative,negative",negative:3,aspect: appearance,"Implicit opinion: Negative

Explanation: The description that the escargot ""looked like it might crawl off the plate"" suggests it appeared unsettlingly alive or poorly prepared, indicating a highly negative opinion of the food's appearance.","Sentiment polarity: Negative (implicit cue: ""looked like it might crawl off the plate"")",negative,negative,True,True,True,same_correct,negative,direct,negative,negative,negative,negative
