id,source_sentence_id,domain,split,sentence,target,from,to,polarity,is_implicit,opinion_words,source_file
1,2339,laptop,train,I charge it at night and skip taking the cord with me because of the good battery life.,cord,41,45,neutral,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
2,2339,laptop,train,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,74,86,positive,0.0,good,Laptops_Train_v2_Implicit_Labeled.xml
3,1316,laptop,train,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,27,41,negative,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
4,1316,laptop,train,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",109,121,negative,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
5,1316,laptop,train,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,4,12,neutral,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
6,2005,laptop,train,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,14,21,positive,0.0,high,Laptops_Train_v2_Implicit_Labeled.xml
7,2005,laptop,train,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,36,39,positive,0.0,killer,Laptops_Train_v2_Implicit_Labeled.xml
8,2005,laptop,train,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,118,130,positive,0.0,good,Laptops_Train_v2_Implicit_Labeled.xml
9,2005,laptop,train,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,143,146,positive,0.0,easy,Laptops_Train_v2_Implicit_Labeled.xml
10,2789,laptop,train,Easy to start up and does not overheat as much as other laptops.,start up,8,16,positive,0.0,Easy,Laptops_Train_v2_Implicit_Labeled.xml
11,76,laptop,train,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,46,54,positive,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
12,76,laptop,train,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,77,82,positive,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
13,76,laptop,train,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,84,94,positive,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
14,76,laptop,train,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,96,107,positive,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
15,80,laptop,train,Great laptop that offers many great features!,features,36,44,positive,0.0,great,Laptops_Train_v2_Implicit_Labeled.xml
16,917,laptop,train,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,89,92,negative,0.0,no,Laptops_Train_v2_Implicit_Labeled.xml
17,917,laptop,train,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,94,100,negative,0.0,dark,Laptops_Train_v2_Implicit_Labeled.xml
18,917,laptop,train,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,111,122,neutral,0.0,steady,Laptops_Train_v2_Implicit_Labeled.xml
19,917,laptop,train,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,131,147,negative,0.0,steady,Laptops_Train_v2_Implicit_Labeled.xml
20,1630,laptop,train,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,87,94,neutral,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
21,38,laptop,train,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,50,66,positive,0.0,soft,Laptops_Train_v2_Implicit_Labeled.xml
22,38,laptop,train,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,108,112,negative,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
23,337,laptop,train,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,13,33,positive,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
24,337,laptop,train,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,44,57,positive,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
25,337,laptop,train,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,73,87,neutral,0.0,unnecessary,Laptops_Train_v2_Implicit_Labeled.xml
26,337,laptop,train,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,115,121,neutral,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
27,2568,laptop,train,I love the way the entire suite of software works together.,suite of software,26,43,positive,0.0,love,Laptops_Train_v2_Implicit_Labeled.xml
28,295,laptop,train,The speed is incredible and I am more than satisfied.,speed,4,9,positive,0.0,incredible satisfied,Laptops_Train_v2_Implicit_Labeled.xml
29,2759,laptop,train,This laptop meets every expectation and Windows 7 is great!,Windows 7,40,49,positive,0.0,great,Laptops_Train_v2_Implicit_Labeled.xml
30,2980,laptop,train,I can barely use any usb devices because they will not stay connected properly.,usb devices,21,32,negative,0.0,not stay connected properly,Laptops_Train_v2_Implicit_Labeled.xml
31,1054,laptop,train,"-No backlit keyboard, but not an issue for me.",keyboard,12,20,conflict,,,Laptops_Train_v2_Implicit_Labeled.xml
32,743,laptop,train,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,50,58,neutral,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
33,743,laptop,train,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,111,117,negative,0.0,crashed,Laptops_Train_v2_Implicit_Labeled.xml
34,2587,laptop,train,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,51,79,negative,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
35,2202,laptop,train,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,67,74,positive,0.0,painless,Laptops_Train_v2_Implicit_Labeled.xml
36,2227,laptop,train,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",32,46,positive,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
37,2227,laptop,train,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,80,86,neutral,0.0,extend,Laptops_Train_v2_Implicit_Labeled.xml
38,92,laptop,train,The machine is slow to boot up and occasionally crashes completely.,boot up,23,30,negative,0.0,slow crashes,Laptops_Train_v2_Implicit_Labeled.xml
39,1204,laptop,train,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,46,53,negative,0.0,frustrating,Laptops_Train_v2_Implicit_Labeled.xml
40,325,laptop,train,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,26,33,conflict,,,Laptops_Train_v2_Implicit_Labeled.xml
41,1574,laptop,train,I love the operating system and the preloaded software.,operating system,11,27,positive,0.0,love,Laptops_Train_v2_Implicit_Labeled.xml
42,1574,laptop,train,I love the operating system and the preloaded software.,preloaded software,36,54,positive,0.0,love,Laptops_Train_v2_Implicit_Labeled.xml
43,3073,laptop,train,The best thing about this laptop is the price along with some of the newer features.,price,40,45,positive,0.0,best,Laptops_Train_v2_Implicit_Labeled.xml
44,3073,laptop,train,The best thing about this laptop is the price along with some of the newer features.,features,75,83,positive,0.0,best newer,Laptops_Train_v2_Implicit_Labeled.xml
45,1254,laptop,train,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,57,76,negative,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
46,810,laptop,train,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,44,60,negative,0.0,NOT BE ABLE,Laptops_Train_v2_Implicit_Labeled.xml
47,130,laptop,train,but now i have realized its a problem with this brand.,brand,48,53,negative,0.0,problem,Laptops_Train_v2_Implicit_Labeled.xml
48,839,laptop,train,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,59,67,positive,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
49,696,laptop,train,I was looking for a mac which is portable and has all the features that I was looking for.,features,58,66,positive,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
50,1030,laptop,train,Also kinda loud when the fan was running.,fan,25,28,negative,0.0,loud,Laptops_Train_v2_Implicit_Labeled.xml
51,1425,laptop,train,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,31,54,neutral,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
52,1425,laptop,train,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,76,84,negative,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
53,1425,laptop,train,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,137,160,negative,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
54,661,laptop,train,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,43,52,negative,0.0,problem,Laptops_Train_v2_Implicit_Labeled.xml
55,661,laptop,train,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,70,77,negative,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
56,661,laptop,train,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,122,129,neutral,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
57,997,laptop,train,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,0,7,positive,0.0,ok,Laptops_Train_v2_Implicit_Labeled.xml
58,997,laptop,train,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,27,38,negative,0.0,froze,Laptops_Train_v2_Implicit_Labeled.xml
59,997,laptop,train,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,49,55,negative,0.0,froze,Laptops_Train_v2_Implicit_Labeled.xml
60,463,laptop,train,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,28,48,neutral,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
61,1193,laptop,train,"Speaking of the browser, it too has problems.",browser,16,23,negative,0.0,problems,Laptops_Train_v2_Implicit_Labeled.xml
62,147,laptop,train,The keyboard is too slick.,keyboard,4,12,negative,0.0,slick,Laptops_Train_v2_Implicit_Labeled.xml
63,1433,laptop,train,Nightly my computer defrags itself and runs a virus scan.,virus scan,46,56,neutral,1.0,,Laptops_Train_v2_Implicit_Labeled.xml
