method,split,n_eval,accuracy,macro_f1,note
current_final_selected,overall,2188,0.6809872029250457,0.6838288181460422,
current_final_selected,train,1746,0.6701030927835051,0.6715238720944575,
current_final_selected,test,442,0.7239819004524887,0.7192041747124914,
residual_meta_selector,overall,2188,0.6809872029250457,0.6838288181460422,candidate scorer=current_final_noop; threshold=inf
residual_meta_selector,train,1746,0.6701030927835051,0.6715238720944575,candidate scorer=current_final_noop; threshold=inf
residual_meta_selector,test,442,0.7239819004524887,0.7192041747124914,candidate scorer=current_final_noop; threshold=inf
source_classifier_meta_selector,overall,2188,0.6773308957952467,0.6794263799224106,
source_classifier_meta_selector,train,1746,0.6666666666666666,0.6673565048154719,
source_classifier_meta_selector,test,442,0.7194570135746606,0.7134517368462322,
oracle_source_upper_bound,overall,2188,0.770109689213894,0.7727493838423428,uses gold labels
oracle_source_upper_bound,train,1746,0.7663230240549829,0.7680818652779139,uses gold labels
oracle_source_upper_bound,test,442,0.7850678733031674,0.7795112058170348,uses gold labels
direct_baseline,overall,2188,0.6572212065813529,0.6608067665295667,
direct_baseline,train,1746,0.6517754868270332,0.6540048368707801,
direct_baseline,test,442,0.6787330316742082,0.6740747626200371,
