gap_case,id,domain,polarity,sentence,target,direct_prediction,thor_prediction,diagnostic_label,current_selected_source,current_selected_prediction,oracle_source,oracle_prediction,meta_selector_source,meta_selector_prediction,error_type,diagnostic_confidence,sc_vote_counts,direct_to_thor_transition,current_to_oracle_source,current_to_oracle_label,meta_to_oracle_source,sc_vote_margin,sc_top_vote_share,sc_unanimous
headroom_current_wrong_oracle_correct,385,laptop,neutral,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",priced,negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,neutral:2;positive:1,negative->neutral,direct->thor,negative->neutral,direct->thor,1,0.6666666666666666,False
headroom_current_wrong_oracle_correct,458,laptop,neutral,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,battery,negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,neutral:3,negative->neutral,direct->thor,negative->neutral,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,470,laptop,neutral,"There is no ""tools"" menu.","""tools"" menu",negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,neutral:3,negative->neutral,direct->thor,negative->neutral,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,472,laptop,neutral,Needs a CD/DVD drive and a bigger power switch.,CD/DVD drive,negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,neutral:3,negative->neutral,direct->thor,negative->neutral,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,498,laptop,positive,"However, the experience was great since the OS does not become unstable and the application will simply shutdown and reopen.",application,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,515,laptop,neutral,"Chatting with Acer support, I was advised the problem was corrupted operating system files.",Acer support,negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,negative:1;neutral:2,negative->neutral,direct->thor,negative->neutral,direct->thor,1,0.6666666666666666,False
headroom_current_wrong_oracle_correct,526,laptop,positive,I was a little worry at first because I don't have a lot of experience with os.x and windows has always been second nature to me after many years of using windows.,windows,neutral,positive,negative,direct,neutral,thor,positive,direct,neutral,missed_implicit_negative,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,568,laptop,positive,I will upgrade the ram myself (because with this model you can you can do it) later on.,upgrade the ram,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,619,laptop,negative,A veryimportant feature is Firewire 800 which in my experience works better then USB3 (in PC enabled with USB3)I was not originally sold on the MAC OS I felt it was inferior in many ways To Windows 7.,USB3,neutral,negative,negative,direct,neutral,thor,negative,direct,neutral,missed_implicit_negative,high,negative:2;neutral:1,neutral->negative,direct->thor,neutral->negative,direct->thor,1,0.6666666666666666,False
headroom_current_wrong_oracle_correct,350,restaurant,positive,Dieters stick to salads or indulge in vegetarian platters.,vegetarian platters,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,neutral:1;positive:2,neutral->positive,direct->thor,neutral->positive,direct->thor,1,0.6666666666666666,False
headroom_current_wrong_oracle_correct,362,restaurant,positive,"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",atmosphere,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,366,restaurant,neutral,I usually get one the Vietnamese Beef Noodle Soup.,Vietnamese Beef Noodle Soup,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:3,positive->neutral,direct->thor,positive->neutral,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,387,restaurant,neutral,"Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.",lunch,neutral,negative,negative,thor,negative,direct,neutral,thor,negative,missed_implicit_negative,high,negative:3,neutral->negative,thor->direct,negative->neutral,thor->direct,3,1.0,True
headroom_current_wrong_oracle_correct,476,restaurant,neutral,"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)...",drinks,neutral,negative,negative,thor,negative,direct,neutral,thor,negative,missed_implicit_negative,high,negative:3,neutral->negative,thor->direct,negative->neutral,thor->direct,3,1.0,True
headroom_current_wrong_oracle_correct,538,restaurant,positive,They specialize in smoothies and fresh juices.,smoothies,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,539,restaurant,positive,They specialize in smoothies and fresh juices.,fresh juices,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,544,restaurant,neutral,The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.,manager,neutral,negative,negative,thor,negative,direct,neutral,thor,negative,missed_implicit_negative,high,negative:3,neutral->negative,thor->direct,negative->neutral,thor->direct,3,1.0,True
headroom_current_wrong_oracle_correct,648,restaurant,positive,Have a mojito and sit in the back patio.,back patio,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
