id,source_sentence_id,domain,split,sentence,target,from,to,polarity,is_implicit,opinion_words,source_file
1,3121,restaurant,train,But the staff was so horrible to us.,staff,8,13,negative,0.0,horrible,Restaurants_Train_v2_Implicit_Labeled.xml
2,2777,restaurant,train,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,57,61,positive,0.0,above average,Restaurants_Train_v2_Implicit_Labeled.xml
3,1634,restaurant,train,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,4,8,positive,0.0,exceptional,Restaurants_Train_v2_Implicit_Labeled.xml
4,1634,restaurant,train,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,55,62,positive,0.0,capable,Restaurants_Train_v2_Implicit_Labeled.xml
5,1634,restaurant,train,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,141,145,neutral,1.0,,Restaurants_Train_v2_Implicit_Labeled.xml
6,2846,restaurant,train,"Not only was the food outstanding, but the little 'perks' were great.",food,17,21,positive,0.0,outstanding,Restaurants_Train_v2_Implicit_Labeled.xml
7,2846,restaurant,train,"Not only was the food outstanding, but the little 'perks' were great.",perks,51,56,positive,0.0,great,Restaurants_Train_v2_Implicit_Labeled.xml
8,1458,restaurant,train,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,27,62,positive,0.0,favorite,Restaurants_Train_v2_Implicit_Labeled.xml
9,1458,restaurant,train,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,76,83,positive,0.0,kind,Restaurants_Train_v2_Implicit_Labeled.xml
10,1458,restaurant,train,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,152,157,neutral,1.0,,Restaurants_Train_v2_Implicit_Labeled.xml
11,1458,restaurant,train,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,113,117,neutral,1.0,,Restaurants_Train_v2_Implicit_Labeled.xml
12,3161,restaurant,train,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,4,10,positive,0.0,outstanding terrific chewy gummy,Restaurants_Train_v2_Implicit_Labeled.xml
13,2391,restaurant,train,Nevertheless the food itself is pretty good.,food,17,21,positive,0.0,good,Restaurants_Train_v2_Implicit_Labeled.xml
14,296,restaurant,train,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,41,46,negative,0.0,forgot,Restaurants_Train_v2_Implicit_Labeled.xml
